Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4.7u,C23733
C10,0402,1,10n,C15195
"C11, C12, C13, C16, C2, C3, C4, C5, C6",0402,9,100n,C1525
"C14, C15",0402,2,12p,C1547
C7,CP_Elec_5x5.3,1,100u,C249463
C8,CP_Elec_6.3x7.7,1,330u,C249900
C9,0402,1,1u,C52923
"D1, D2",0805,2,Green,C63855
J1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,I2C1_5,
"J10, J13, J16, J7",JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,4,Codeur,
"J11, J14, J17, J9",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,4,Motor FeedBack,
"J12, J15, J18, J8",JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,4,Motor CMD,
J2,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,I2C2_5,
J3,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,CAN1,
J4,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,CAN2,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,In App Prog,
J6,PinHeader_2x05_P1.27mm_Vertical_SMD,1,DEBUG,C5160761
L1,0402,1,39n,C26443
"Q1, Q10, Q11, Q12, Q13, Q14, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,14,BSS138,C426569
"R1, R8",0805,2,68,C17802
"R10, R9",0402,2,47,C25118
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R4, R5, R6, R7",0805,34,10k,C17414
SW1,SW_TS_1088_AR_3x4x2,1,RESET,C720477
SW2,SW_TS_1088_AR_3x4x2,1,BOOT0,C720477
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RETx,C521608
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2558FD-xSN,C124015
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,C13738
